Date,c1,c2,A,B,switch,c1_ret,c2_ret,rollex_ret,rollex_px
2023-06-27,169.45,166.95,0,1,0,0.00893122953259895,0.01089918256130784,0.01089918256130784,137.61636452131447
2023-06-28,165.65,161.95,0,1,0,-0.022425494246090194,-0.029949086552860105,-0.029949086552860105,133.49488010917565
2023-06-29,163.6,161.6,0,1,0,-0.012375490492001262,-0.0021611608521148185,-0.0021611608521148185,133.20637620032596
2023-06-30,161.0,159.0,0,1,0,-0.0158924205378973,-0.016089108910891103,-0.016089108910891103,131.0632043060138
2023-07-03,162.5,160.5,0,1,0,0.009316770186335477,0.009433962264151052,0.009433962264151052,132.29964962965545
2023-07-05,161.05,158.9,0,1,0,-0.008923076923076811,-0.009968847352024857,-0.009968847352024857,130.98077461777103
2023-07-06,162.35,160.45,0,1,0,0.008072027320707775,0.009754562617998674,0.009754562617998674,132.25843478553406
2023-07-07,162.8,160.9,0,1,0,0.0027717893440100116,0.002804612028669551,0.002804612028669551,132.62936838262655
2023-07-10,161.75,159.85,0,1,0,-0.00644963144963151,-0.006525792417650833,-0.006525792417650833,131.76385665607742
2023-07-11,159.3,157.55,0,1,0,-0.015146831530139071,-0.014388489208633004,-0.014388489208633004,129.86797382649357
2023-07-12,158.75,157.0,0,1,0,-0.003452605147520438,-0.00349095525230092,-0.00349095525230092,129.41461054115828
2023-07-13,159.35,157.6,0,1,0,0.0037795275590550848,0.003821656050955413,0.003821656050955413,129.90918867061492
2023-07-14,161.95,160.8,0,1,0,0.01631628490743653,0.020304568527918843,0.020304568527918843,132.54693869438375
2023-07-17,154.75,155.8,0,1,0,-0.04445816610064823,-0.031094527363184077,-0.031094527363184077,128.42545428224497
2023-07-18,155.25,156.3,0,1,0,0.003231017770597644,0.003209242618742003,0.003209242618742003,128.83760272345887
2023-07-19,152.45,155.5,0,1,1,-0.01803542673107894,-0.0051183621241203126,-0.0051183621241203126,128.17816521751666
2023-07-20,158.05,158.3,1,0,0,0.03673335519842591,0.018006430868167334,0.016398713826366595,130.28012226770744
2023-07-21,161.85,161.55,1,0,0,0.024043024359379883,0.020530638029058856,0.024043024359379883,133.4124504209329
2023-07-24,163.0,163.3,1,0,0,0.00710534445474198,0.010832559579077694,0.00710534445474198,134.3603918357248
2023-07-25,161.85,162.2,1,0,0,-0.007055214723926451,-0.006736068585425747,-0.007055214723926451,133.41245042093288
2023-07-26,163.15,163.2,1,0,0,0.008032128514056325,0.006165228113440113,0.008032128514056325,134.484036368089
2023-07-27,161.45,161.7,1,0,0,-0.01041985902543685,-0.009191176470588203,-0.01041985902543685,133.08273166796178
2023-07-28,157.9,158.2,1,0,0,-0.021988231650665768,-0.02164502164502169,-0.021988231650665768,130.15647773534326
2023-07-31,164.65,164.55,1,0,0,0.042748575047498516,0.040139064475347874,0.042748575047498516,135.7204816917306
2023-08-01,164.55,164.4,1,0,0,-0.000607348921955575,-0.0009115770282589475,-0.000607348921955575,135.63805200348787
2023-08-02,166.95,166.35,1,0,0,0.01458523245214205,0.011861313868613,0.01458523245214205,137.61636452131447
2023-08-03,164.75,164.0,1,0,0,-0.013177598083258357,-0.014126840997895962,-0.013177598083258357,135.8029113799734
2023-08-04,161.35,160.95,1,0,0,-0.02063732928679818,-0.018597560975609828,-0.02063732928679818,133.000301979719
2023-08-07,163.95,163.45,1,0,0,0.01611403780601184,0.01553277415346388,0.01611403780601184,135.1434738740312
2023-08-08,161.35,160.85,0,1,0,-0.015858493443122845,-0.01590700520036703,-0.01590700520036703,132.9937459323213
2023-08-09,160.75,160.2,0,1,0,-0.003718624109079638,-0.004041032017407575,-0.004041032017407575,132.45631394689383
2023-08-10,159.9,159.65,0,1,0,-0.005287713841368502,-0.0034332084893881065,-0.0034332084893881065,132.0015638053783
2023-08-11,157.8,157.7,0,1,0,-0.013133208255159401,-0.012214218603194604,-0.012214218603194604,130.3892678490959
2023-08-14,151.1,152.6,0,1,0,-0.042458808618504595,-0.032339885859226314,-0.032339885859226314,126.17249380958805
2023-08-15,149.25,151.35,0,1,0,-0.012243547319655823,-0.008191349934469239,-0.008191349934469239,125.13897076068906
2023-08-16,148.9,150.6,0,1,0,-0.0023450586264656126,-0.0049554013875123815,-0.0049554013875123815,124.51885693134967
2023-08-17,147.0,149.1,0,1,0,-0.012760241773002057,-0.009960159362549792,-0.009960159362549792,123.27862927267091
2023-08-18,147.45,150.0,0,1,0,0.003061224489795844,0.006036217303822866,0.006036217303822866,124.02276586787816
2023-08-21,147.55,150.8,0,1,0,0.0006781959986437158,0.005333333333333412,0.005333333333333412,124.68422061917352
2023-08-22,146.6,150.05,0,1,0,-0.006438495425279633,-0.004973474801061029,-0.004973474801061029,124.06410678983413
2023-08-23,152.95,153.9,0,1,0,0.04331514324693031,0.025658113962012674,0.025658113962012674,127.24735778044301
2023-08-24,153.0,154.3,0,1,0,0.0003269042170643832,0.002599090318388564,0.002599090318388564,127.5780851560907
2023-08-25,151.75,153.15,0,1,0,-0.008169934640522847,-0.007453013609850956,-0.007453013609850956,126.62724395110362
2023-08-28,151.8,152.75,0,1,0,0.00032948929159815066,-0.0026118184786158016,-0.0026118184786158016,126.29651657545595
2023-08-29,151.35,153.1,0,1,0,-0.0029644268774704496,0.0022913256955809924,0.0022913256955809924,126.58590302914766
2023-08-30,153.35,155.35,0,1,0,0.013214403700033017,0.014696276943174436,0.014696276943174436,128.44624451716584
2023-08-31,152.7,154.5,0,1,0,-0.004238669709814236,-0.005471515931766979,-0.005471515931766979,127.74344884391454
2023-09-01,150.95,151.9,0,1,0,-0.01146037982973147,-0.016828478964401206,-0.016828478964401206,125.59372090220467
2023-09-05,151.4,153.45,0,1,0,0.0029811195760187648,0.010204081632652962,0.010204081632652962,126.87528948283939
2023-09-06,151.75,153.8,0,1,0,0.002311756935270859,0.002280873248615256,0.002280873248615256,127.16467593653113
2023-09-07,147.4,149.8,0,1,0,-0.028665568369028005,-0.026007802340702213,-0.026007802340702213,123.85740218005438
2023-09-08,146.25,148.65,0,1,0,-0.007801899592944417,-0.007676902536715713,-0.007676902536715713,122.90656097506731
2023-09-11,151.55,152.85,0,1,0,0.03623931623931642,0.02825428859737622,0.02825428859737622,126.37919841936787
2023-09-12,150.7,152.0,0,1,0,-0.0056087099967009335,-0.005561007523716022,-0.005561007523716022,125.67640274611657
2023-09-13,151.05,151.95,0,1,0,0.002322495023225013,-0.0003289473684211508,-0.0003289473684211508,125.63506182416059
2023-09-14,153.1,154.0,0,1,0,0.013571665011585354,0.013491280026324493,0.013491280026324493,127.33003962435494
2023-09-15,158.25,159.15,0,1,0,0.033638145003265896,0.03344155844155838,0.03344155844155838,131.58815458581876
2023-09-18,158.7,159.6,0,1,0,0.0028436018957345155,0.002827521206409056,0.002827521206409056,131.96022288342238
2023-09-19,167.5,160.95,0,1,1,0.055450535601764495,0.008458646616541277,0.008458646616541277,133.0764277762333
2023-09-20,158.2,159.25,1,0,0,-0.055522388059701555,-0.010562286424355305,-0.017086051568810157,130.80267706865553
2023-09-21,154.85,156.05,1,0,0,-0.02117572692793923,-0.020094191522762928,-0.02117572692793923,128.03283529760623
2023-09-22,151.15,152.25,1,0,0,-0.02389409105586049,-0.02435116949695615,-0.02389409105586049,124.97360707286525
2023-09-25,148.8,149.9,1,0,0,-0.015547469401256953,-0.015435139573070522,-0.015547469401256953,123.03058374093517
2023-09-26,150.85,151.9,1,0,0,0.013776881720430012,0.013342228152101399,0.013776881720430012,124.7255615411295
2023-09-27,149.25,150.35,1,0,0,-0.010606562810739129,-0.010204081632653184,-0.010606562810739129,123.4026520385388
2023-09-28,147.2,148.35,1,0,0,-0.01373534338358462,-0.01330229464582644,-0.01373534338358462,121.70767423834445
